ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2203885,Liebherr,HC 1001B,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,Yes,69.7,22.3,9.4,11.3,395,443,11,No,,,,02/12/2014,02/11/2014,"United States, Canada",ES_1017655_HC 1001B_02122014024551_2701475,No
2247459,Liebherr,HC 1021,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,Yes,69.7,21.5,9.4,11.2,395,442,11,No,,,,09/01/2015,08/27/2015,"United States, Canada",ES_1017655_HC 1021_09082015040806_70045146,No
2207541,Liebherr,HC 1030,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,No,69.7,21.5,9.4,11.2,395,442,11,No,,,,04/01/2014,03/28/2014,"United States, Canada",ES_1017655_HC 1030_03282014113943_2712307,No
2287541,Liebherr,HC 1030 PC,,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,No,Yes,No,No,No,69.7,22,9.4,11.2,395,442,11,No,,,,01/23/2017,01/03/2017,"United States, Canada",ES_1017655_HC 1030 PC_01032017021651_70115195,No
2235132,Liebherr,HC 1050B,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.7,21.5,9.3,11.1,475,525,11,No,,,,12/01/2014,11/03/2014,"United States, Canada",ES_1017655_HC 1050B_03262015113425_2776970,No
2287540,Liebherr,HC 1050 PC,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.7,22,9.3,11.1,475,525,11,No,,,,01/23/2017,01/03/2017,"United States, Canada",ES_1017655_HC 1050 PC_01032017021651_70115195,No
2207540,Liebherr,HC 1070,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.7,21.5,9.3,11.1,475,525,11,No,,,,04/01/2014,03/28/2014,"United States, Canada",ES_1017655_HC 1070_03282014113942_2712307,No
2235131,Liebherr,HC 1080,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,No,69.7,21.5,9.3,11.1,475,525,11,No,,,,12/01/2014,11/03/2014,"United States, Canada",ES_1017655_HC 1080_03262015113425_2776970,No
2222457,Liebherr,HC 1540,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,29.9,14.1,17.4,507,584,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HC 1540_10022014105208_2767851,No
2222458,Liebherr,HC 1541,,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,No,Yes,No,Yes,Yes,79.5,29.9,14.1,17.4,507,584,15,No,,,,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_HC 1541_10022014105208_2767851,No
