ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),% Better than US Federal Standard (kWh/yr),Energy Factor (EF),Water Use (gallons/cycle),US Federal Standard (gallons/cycle),% Better than US Federal Standard (gallons/cycle),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market, Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2278994,Miele,G 4971 SCVi,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4971 SCVi_09122016020545_70097737,Yes
2255020,Miele,G 4975 SCVi,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4975 SCVi_12162015020838_70057049,No
2255021,Miele,G 4975 SCVi SF,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4975 SCVi SF_12162015020838_70057049,No
2255018,Miele,G 4975 Vi,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,"United States, Canada",ES_0031629_G 4975 Vi_12162015020838_70057049,No
2255019,Miele,G 4975 Vi SF,,Standard,270,307,12,,3.2,5,36,No,,,,03/01/2015,12/10/2015,United States,ES_0031629_G 4975 Vi SF_12162015020838_70057049,No
2278997,Miele,G 4976 SCVi,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4976 SCVi_09122016020545_70097737,Yes
2278998,Miele,G 4976 SCVi SF,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4976 SCVi SF_09122016020545_70097737,Yes
2278995,Miele,G 4976 Vi,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4976 Vi_09122016020545_70097737,Yes
2278996,Miele,G 4976 Vi SF,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,09/07/2016,"United States, Canada",ES_0031629_G 4976 Vi SF_09122016020545_70097737,Yes
2298450,Miele,G 4977 SCVi SF,,Standard,230,307,25,,3.2,5,36,No,,,,10/15/2017,06/25/2017,United States,ES_0031629_G 4977 SCVi SF_06252017085934_70144127,Yes
2298449,Miele,G 4977 Vi SF,,Standard,230,307,25,,3.2,5,36,No,,,,10/15/2017,06/25/2017,United States,ES_0031629_G 4977 Vi SF_06252017085934_70144127,Yes
2282217,Miele,G 4993 SCVi,,Standard,230,307,25,,3.2,5,36,No,,,,03/20/2017,10/25/2016,"United States, Canada",ES_0031629_G 4993 SCVi_10252016030307_70105233,Yes
