ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Cooling Capacity (Btu/hr),Type,Reverse Cycle,Casement Window,Product Class,Variable Speed Compressor,Energy Efficiency Ratio (EER),Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Functionality,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier
2316383,Soleusair,WM1-18E-02,,18300,Window,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",,,11.8,10,1163,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-18E-02_04032018065830_8710681
2316382,Soleusair,WM1-24E-02,,24000,Window,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",,,10.3,10,1748,No,,,,03/28/2018,03/29/2018,"United States, Canada",ES_1135749_WM1-24E-02_04032018065947_8787530
2323359,Soleusair,WS1-06E-02,,6200,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,384,No,,,,07/28/2018,07/30/2018,"United States, Canada",ES_1139361_WS1-06E-02_07302018091226_1946775
2323360,Soleusair,WS1-08E-02,,8000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,500,No,,,,07/28/2018,07/30/2018,"United States, Canada",ES_1139361_WS1-08E-02_07302018092156_2516621
2323361,Soleusair,WS1-10E-02,,10200,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,638,No,,,,07/28/2018,07/30/2018,"United States, Canada",ES_1139361_WS1-10E-02_07302018092351_2631917
2323362,Soleusair,WS1-12E2-02,,12000,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,750,No,,,,07/28/2018,07/30/2018,"United States, Canada",ES_1139361_WS1-12E2-02_07302018092519_2719603
2289280,Soleus Air,WM1-06E-**,",WS1-06E-**,",6400,Window,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,,12.1,10,397,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-06E-**_01252017033621_5381998
2289281,Soleus Air,WM1-08E-**,",WS1-08E-**,",8500,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,531,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-08E-**_01252017033647_5407166
2289282,Soleus Air,WM1-10E-**,",WS1-10E-**,",10200,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,638,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-10E-**_01252017033706_5426666
2289283,Soleus Air,WM1-12E2-**,",WS1-12E2-**,",12600,Window,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,,12,10,788,No,,,,01/20/2017,01/24/2017,"United States, Canada",ES_1135749_WM1-12E2-**_01252017033720_5440085
