ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,Type,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Connected Functionality,Date Available On Market,Date Certified,Markets,CB Model Identifier
2307581,Danby or Danby Designer or Danby Premiere or Simplicity,DCF096A3*,,Chest Freezer,Manual,No,No,No,No,9.6,16.9,206,231,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF096A3*_12012017104804_70163948
2307582,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM043A2*,,Upright Freezer,Manual,Yes,No,No,No,4.3,7.6,260,291,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM043A2*_12012017104802_70163948
2307588,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM071A2*.,,Upright Freezer,Manual,Yes,No,No,No,7.1,12.5,298,334,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM071A2*._12012017104805_70163948
2307583,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM085A3*,,Upright Freezer,Manual,No,No,No,No,8.5,15,247,277,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM085A3*_12012017104803_70163948
2307584,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM085A4*,,Upright Freezer,Manual,No,No,No,No,8.5,15,247,277,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM085A4*_12012017104801_70163948
2307585,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM101A1*,,Upright Freezer,Manual,No,No,No,No,10.1,17.8,261,293,11,No,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM101A1*_12012017104807_70163948
2208038,Edgestar,CMF151L-1,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,07/10/2014,03/31/2014,"United States, Canada",ES_1074063_CMF151L-1_03182014035110_2711219
2208039,Edgestar,CRF150SS-1,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,07/10/2014,03/31/2014,"United States, Canada",ES_1074063_CRF150SS-1_03182014035111_2711219
2334684,ELLIPSE,ECVC138W,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,03/10/2019,03/13/2019,"United States, Canada",ES_1125680_ECVC138W_03132019074643_3203437
2303490,ELLIPSE,EDV166W,",EDV166S,",Upright Freezer,Automatic,No,No,No,No,17,29.6,438,483,9,No,09/05/2017,09/08/2017,"United States, Canada",ES_1125680_EDV166W_09122017091145_7505892
2329406,Emerson,UF300WE,,Upright Freezer,Manual,Yes,No,No,No,3,5.3,240,272,12,No,11/08/2018,11/09/2018,"United States, Canada",ES_1122227_UF300WE_11092018092923_5763638
2300585,EPIC,ECF35W-1,,Chest Freezer,Manual,Yes,No,No,No,3.5,6.2,172,194,11,No,07/14/2017,07/13/2017,"United States, Canada",ES_1137295_ECF35W-1_07262017114225_9345740
2301187,EPIC,ECF50W,,Chest Freezer,Manual,Yes,No,No,No,5.1,9,196,220,11,No,07/14/2017,07/13/2017,"United States, Canada",ES_1137295_ECF50W_07262017115313_9993178
2300588,EPIC,ECF70W,,Chest Freezer,Manual,Yes,No,No,No,7,12.3,224,251,11,No,07/14/2017,07/13/2017,"United States, Canada",ES_1137295_ECF70W_07262017114956_9796507
2220168,Equator,FR 502-650 SS,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,391,438,11,No,09/24/2014,08/06/2014,"United States, Canada",ES_0040188_FR 502-650 SS_08292014121414_70009788
2302996,Midea,WHS-507FWEW1,",WHS-507FWEB1,; ,WHS-507FWESS1,",Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,08/30/2017,08/31/2017,"United States, Canada",ES_1030337_WHS-507FWEW1_08312017103427_5667485
2210213,Midea,WHS-52FB1,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,05/09/2014,05/08/2014,"United States, Canada",ES_1030337_WHS-52FB1_04282014101217_2721653
2210214,Midea,WHS-52FSS1,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,05/09/2014,05/08/2014,"United States, Canada",ES_1030337_WHS-52FSS1_04282014101218_2721653
2210212,Midea,WHS-52FW1,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,05/09/2014,05/08/2014,"United States, Canada",ES_1030337_WHS-52FW1_04282014101216_2721653
2291786,Midea,WHS-625FWEW1,",WHS-625FWEB1, WHS-625FWESS1,",Upright Freezer,Automatic,No,No,No,No,17,29.6,438,483,9,No,02/10/2017,02/23/2017,"United States, Canada",ES_1030337_WHS-625FWEW1_03022017062847_6127747
2269041,Midea,WHS-75FW1,,Upright Freezer,Manual,Yes,No,No,No,2.1,3.7,219,258,15,No,05/10/2016,06/01/2016,"United States, Canada",ES_1030337_WHS-75FW1_06062016070606_6766428
2291785,Midea,WHS-772FWEW1,",WHS-772FWEB1, WHS-772FWESS1,",Upright Freezer,Automatic,No,No,No,No,21,37,492,547,10,No,02/10/2017,02/23/2017,"United States, Canada",ES_1030337_WHS-772FWEW1_03022017062907_6147719
2219291,Miele,F 1413 Vi,"F 1413 SF,F 1413 SF,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,Yes,Yes,8.4,14.8,440,491,12,No,10/15/2014,09/10/2014,"United States, Canada",ES_0031629_FIN18M1IL1_06182014123847_2737291
2219294,Miele,F 1473 Vi,"F 1473 SF,F 1473 SF,door makeup difference",Upright Freezer,Automatic,Yes,No,No,No,7.7,13.6,436,490,11,No,10/15/2014,09/10/2014,"United States, Canada",ES_0031629_FID18M1IL1_06182014123847_2737291
2219292,Miele,F 1813 Vi,"F 1813 SF, F 1803 Vi,F 1813 SF, F 1803 Vi,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,Yes,Yes,15.6,27.5,521,616,17,No,10/15/2014,09/10/2014,"United States, Canada",ES_0031629_FIN30M1IR1_06182014123847_2737291
2219293,Miele,F 1913 Vi,"F 1913 SF, F 1903 Vi,F 1913 SF, F 1903 Vi,reverse door and door makeup difference",Upright Freezer,Automatic,No,Yes,Yes,Yes,19.2,33.8,575,678,16,No,10/15/2014,09/10/2014,"United States, Canada",ES_0031629_FIN36M1IR1_06182014123847_2737291
2333179,Miele,F 2411 SF,",,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,8.6,15.1,418,494,17,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2411 SF_02072019040259_70213076
2333178,Miele,F 2411 Vi,,Upright Freezer,Automatic,No,Yes,Yes,Yes,8.6,15.1,418,494,17,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2411 Vi_02072019040259_70213076
2333515,Miele,F 2461 Vi,",KI KIWD18USM,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,7.8,13.6,428,479,12,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2461 Vi_02142019034744_70215609
2333517,Miele,F 2471 SF,",KI KIWD18USM,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,7.8,13.6,428,479,12,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2471 SF_02142019034744_70215609
2333516,Miele,F 2471 Vi,,Upright Freezer,Automatic,No,Yes,Yes,Yes,7.8,13.6,428,479,12,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2471 Vi_02142019034744_70215609
2333518,Miele,F 2661 Vi,",KI KIWD24USM,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,11.2,19.8,457,540,17,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2661 Vi_02142019034744_70215609
2333520,Miele,F 2671 SF,",KI KIWD24USM,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,11.2,19.8,457,540,17,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2671 SF_02142019034744_70215609
2333519,Miele,F 2671 Vi,,Upright Freezer,Automatic,No,Yes,Yes,Yes,11.2,19.8,457,540,17,No,02/14/2019,02/13/2019,"United States, Canada",ES_0031629_F 2671 Vi_02142019034744_70215609
2333181,Miele,F 2801 Vi,",,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,15.8,27.7,493,618,22,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2801 Vi_02072019040259_70213076
2333182,Miele,F 2811 SF,",,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,15.8,27.7,493,618,22,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2811 SF_02072019040259_70213076
2333180,Miele,F 2811 Vi,,Upright Freezer,Automatic,No,Yes,Yes,Yes,15.8,27.7,493,618,22,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2811 Vi_02072019040259_70213076
2333184,Miele,F 2901 Vi,",,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,19.4,34.1,543,681,21,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2901 Vi_02072019040259_70213076
2333185,Miele,F 2911 SF,",,Cosmetic",Upright Freezer,Automatic,No,Yes,Yes,Yes,19.4,34.1,543,681,21,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2911 SF_02072019040259_70213076
2333183,Miele,F 2911 Vi,,Upright Freezer,Automatic,No,Yes,Yes,Yes,19.4,34.1,543,681,21,No,02/14/2019,02/05/2019,"United States, Canada",ES_0031629_F 2911 Vi_02072019040259_70213076
2222448,Miele,FNS 37492 iE,,Upright Freezer,Automatic,No,Yes,Yes,Yes,7.8,13.7,439,480,10,No,10/06/2014,09/22/2014,"United States, Canada",ES_1017655_FNS 37492 iE_10022014105208_2767851
2244749,PREMIUM,PFV1375MW,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,391,438,11,No,07/28/2015,07/22/2015,"United States, Canada",ES_1117600_PFV1375MW_07292015124310_70040588
2244750,PREMIUM,PFV1376MS,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,391,438,11,No,07/28/2015,07/22/2015,"United States, Canada",ES_1117600_PFV1376MS_07292015124310_70040588
2322894,PREMIUM,PFV1385MW,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,07/10/2018,07/18/2018,"United States, Canada",ES_1117600_PFV1385MW_07182018031237_3557520
2322895,PREMIUM,PFV1386MS,,Upright Freezer,Automatic,No,No,No,No,13.8,24.3,394,438,10,No,07/10/2018,07/18/2018,"United States, Canada",ES_1117600_PFV1386MS_07182018032008_4008753
2218761,PREMIUM,PFV30500MW,"Freezers,PFV30600MS,",Upright Freezer,Manual,Yes,No,No,No,3,5.3,240,272,12,No,11/01/2014,08/28/2014,United States,ES_1117600_PFV30500MW_09082014195424_6064623
2281040,RCA,RFRF-450-AMZ,,Chest Freezer,Manual,Yes,No,No,No,5.1,9,172,220,22,No,10/01/2016,10/09/2016,"United States, Canada",ES_1120898_RFRF-450-AMZ_10112016082017_4017648
2281041,RCA,RFRF470-AMZ,,Chest Freezer,Manual,Yes,No,No,No,7,12.3,198,251,21,No,10/01/2016,10/09/2016,"United States, Canada",ES_1120898_RFRF470-AMZ_10112016082423_4263725
2281042,RCA,RFRF470-BLACK-AMZ,,Chest Freezer,Manual,Yes,No,No,No,7,12.3,198,251,21,No,10/01/2016,10/09/2016,"United States, Canada",ES_1120898_RFRF470-BLACK-AMZ_10112016082134_4094744
2303376,Signature Kitchen Suite,SKSCF1801*,,Upright Freezer,Automatic,No,Yes,Yes,Yes,9.6,16.9,480,512,8,Yes,09/05/2017,08/28/2017,"United States, Canada",ES_1118034_SKSCF1801*_09082017125412_70153884
2319218,Signature Kitchen Suite,SKSCF2401*,,Upright Freezer,Automatic,No,Yes,Yes,Yes,13.9,24.4,500,585,16,Yes,05/08/2018,05/01/2018,"United States, Canada",ES_1118034_SKSCF2401*_05022018014715_70183199
2319219,Signature Kitchen Suite,SKSCF3001*,,Upright Freezer,Automatic,No,Yes,Yes,Yes,17.8,31.3,550,654,17,Yes,05/08/2018,05/01/2018,"United States, Canada",ES_1118034_SKSCF3001*_05022018014725_70183199
2203378,SPT,UF-114SS,,Upright Freezer,Manual,Yes,No,No,No,1.1,1.9,215,242,11,No,03/15/2014,01/24/2014,"United States, Canada",ES_1084573_UF-114SS_01142014044745_2691912
