ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Display Type,Panel Technology,Backlight Technology,Native Resolution (pixels),Total Native Resolution (megapixels),Screen Size (inches),Screen Area (square inches),Model Features,Features Enabled in Default On Mode,Features Enabled in Default Sleep Mode,Signal or Data Interfaces,Power Source,On Mode Power (watts),Maximum On Mode Power Limit for Signage Certification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power Limit for Signage Certification (watts),Off Mode Power (watts),On Mode Power at 12 Lux at 115 Volts (W),On Mode Power at 300 Lux (watts),Monitor Total Energy Consumption at 115 Volts (kWh/yr),Maximum Total Energy Consumption Limit for Monitor Certification (kWh/yr),Maximum Luminance (candelas per square meter),Enhanced-Performance Display?,Display Contrast Ratio  at 0 deg. Horiz. Viewing Angle,Reported Contrast Ratio at -85 Degrees (Left) Horizontal Viewing Angle,Reported Contrast Ratio at +85 Degrees (Right) Horizontal Viewing Angle,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets Most Efficient 2019 Criteria
2265377,Dell Inc.,DELL,C7017T,C7017Tf,,Signage Display,VA LCD,LED,1920 x 1080,2.1,69.5,2064.7,"Energy Gauge,Full Network Connectivity,Touch Screen,Built-In Speakers","Energy Gauge,Full Network Connectivity,Touch Screen,Built-In Speakers","Full Network Connectivity,Touch Screen","HDMI 1.4,DisplayPort 1.2,VGA,Other,USB 3.0",Ac power supply,109.69,158,0.7,5,0.17,,,,,400,None,4000,,,01/05/2016,04/26/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_C7017Tf_04252016164718_2452813,No
2297153,Dell Inc.,DELL,D3218HN,D3218HNo,"?,?,?",Monitor,ADS,LED,1920 x 1080,2.1,31.5,425.27,None,None,None,"HDMI 1.4,VGA",Ac power supply,22.28,,0.25,,0.22,,,69.73,86.8,300,None,1200,,,10/30/2017,06/06/2017,"United States, Japan",ES_29573_D3218HNo_06062017150654_9327966,No
2261774,Dell Inc.,DELL,E1715S,E1715Sc,,Monitor,TFT LCD,LED,1280 x 1024,1.3,17,141.57,None,None,None,"DisplayPort 1.2,VGA",Ac power supply,8.8,,0.15,,0.11,,,27.83,33.3,250,None,1000,,,10/20/2013,03/04/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E1715Sc_03022016111522_1015436,Yes
2261772,Dell Inc.,DELL,E1916H,E1916Hf,"E1916HL,E1916HVf,; E1916HV,E1916HVf,; E1916He,E1916Hef,",Monitor,TN LCD,LED,1366 x 768,1,18.5,146.3,None,None,None,"DisplayPort 1.2,VGA",Ac power supply,9.81,,0.22,,0.18,,,31.33,35,200,None,600,,,05/01/2015,03/07/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E1916Hf_03072016133729_2382776,No
2275427,Dell Inc.,DELL,E2016H,E2016Hb,,Monitor,TN LCD,LED,1600  x 900,1.4,19.5,158.96,None,None,None,"DisplayPort 1.2,SVGA",Ac power supply,11.09,,0.14,,0.11,,,34.78,41.7,250,None,1000,,,05/30/2015,01/04/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2016Hb_08162016160146_7002611,No
2263647,Dell Inc.,DELL,E2016HV,E2016HVf,,Monitor,TN LCD,LED,1600 x 900,1.4,19.5,160.74,None,None,None,VGA,Ac power supply,11.73,,0.22,,0.19,,,37.22,47.1,200,None,600,,,01/05/2016,03/31/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2016HVf_03282016151201_988885,No
2264024,Dell Inc.,DELL,E2016,E2016t,,Monitor,IPS LCD,LED,1440 x 900,1.3,19.5,170.9,None,None,None,VGA,Ac power supply,13.37,,0.16,,0.13,,,41.9,43.3,250,None,1000,,,07/21/2015,04/12/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2016t_04132016120741_9617308,No
2264238,Dell Inc.,DELL,E2216H,E2216Hf,,Monitor,TN LCD,LED,1920 x 1080,2.1,21.5,198.08,None,None,None,"DisplayPort 1.2,VGA",Ac power supply,11.45,,0.2,,0.16,,,36.24,50.6,250,None,1000,,,01/05/2016,04/14/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2216Hf_04112016162325_7967035,Yes
2263649,Dell Inc.,DELL,E2216HV,E2216HVf,"E2216HVM,E2216HVf,",Monitor,TN LCD,LED,1920 x 1080,2.1,21.5,198.1,None,None,None,VGA,Ac power supply,11.89,,0.21,,0.19,,,37.65,56.3,200,None,600,,,01/05/2016,03/31/2016,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2216HVf_03282016152646_8050348,Yes
2293532,Dell Inc.,DELL,E2218HN,E2218HNf,,Monitor,TN LCD,LED,1920 x 1080,2.1,21.5,197.52,Energy Gauge,Energy Gauge,Energy Gauge,"HDMI 1.4,VGA",Ac power supply,14.18,,0.22,,0.16,,,44.73,50.6,250,None,1000,,,04/10/2017,03/31/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2218HNf_04032017204056_2070663,No
2298981,Dell Inc.,DELL,E2219HN,E2219HNo,,Monitor,,LED,1920 x 1080,2.1,21.5,197.6,None,None,None,"HDMI 1.4,XGA",Ac power supply,11.06,,0.13,,0.1,,,34.66,50.6,200,None,1000,,,09/13/2017,06/30/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2219HNo_0630201782435I49_7349927,Yes
2291298,Dell Inc.,DELL,E2318H,E2318Hf,,Monitor,IPS LCD,LED,1920  x 1080,2.1,23,226.05,Built-In Speakers,Built-In Speakers,None,"XGA,DisplayPort 1.2",Ac power supply,12.9,,0.14,,0.12,,,40.38,50.8,250,EPD I (32.9% CIE LUV/99% sRGB area or greater),1000,,,02/20/2017,02/22/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_29573_E2318Hf_02222017132422I24_7349927,Yes
2291299,Dell Inc.,DELL,E2318HN,E2318HNf,"E2318HR,E2318HNf,; E2318HX,E2318HNf,",Monitor,IPS LCD,LED,1920  x 1080,2.1,23,226.05,Built-In Speakers,Built-In Speakers,None,"XGA,DisplayPort 1.2",Ac power supply,12.9,,0.14,,0.12,,,40.38,50.8,250,EPD I (32.9% CIE LUV/99% sRGB area or greater),1000,,,02/20/2017,02/22/2017,"United States, Switzerland, Taiwan, Japan, Canada",ES_E2318HNf_02222017152420I36_7349927,Yes
