ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Type,Fuel Type,Vent Type,Storage Volume (gallons),Tank Height (in.),Height to Vent (in.),Tank Diameter (in.),Vent Size (in.),Vent Size 2 (in.),Max Heat Output (kBtu/hr),Input Rate  - Gas-fired (kBtu/hr),Thermal Efficiency (TE),Standby Loss (Btu/hr),Electric Input - Electric Heat Pump (kW),Coefficient of Performance (COPh),Optional Status and Messaging Features,Date Available On Market,Date Certified,Markets,CB Model Identifier
2327600,A.O. Smith Corporation,American,Polaris,PG10 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3PV 201_10122018171206_3343433
2327601,A.O. Smith Corporation,A. O. Smith,SUF 100 150NEA 300,BTH 150A 301,,Gas Storage,Propane,Power Direct Vent,100,62.9,11,24,3,4,147,150,0.98,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_BTH 150A 301_10122018171208_6309819
2327602,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_GTP 199 201_10122018171210_2831236
2327603,A.O. Smith Corporation,American,BTH 300 201,HCG3-100T150-3P 301,,Gas Storage,Propane,Power Direct Vent,100,63.5,12,30,4,6,147,150,0.98,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_HCG3-100T150-3P 301_10122018171212_8305876
2327604,A.O. Smith Corporation,State,Polaris,GHX 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_GHX 50 199 P 201_10122018171213_7160824
2327605,A.O. Smith Corporation,American,BTH 300A 300,AHCG3-100T150-3P 301,,Gas Storage,Propane,Power Direct Vent,100,63.5,12,30,4,6,147,150,0.98,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_AHCG3-100T150-3P 301_10122018171216_4795056
2327606,A.O. Smith Corporation,American,Polaris,PG10 50 150 2NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 150 2NV 200_10122018171217_1000046
2327607,A.O. Smith Corporation,American,Polaris,PR 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PR 50 199 P 201_10122018171218_1872881
2327608,A.O. Smith Corporation,State,BTH 300A 301,SUF 100 150PE 301,,Gas Storage,Propane,Power Direct Vent,100,63.5,12,30,4,6,147,150,0.98,1000,,,,05/09/2014,12/13/2018,United States,ES_92897_SUF 100 150PE 301_10122018171220_8394297
2327609,A.O. Smith Corporation,American,Polaris,PG10 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 150 2PV 201_10122018171222_3901958
2327610,A.O. Smith Corporation,American,Polaris,PGC3 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PGC3 50 199 3PV 201_10122018171223_0805059
2327611,A.O. Smith Corporation,State,BTH 500 200,SUF 100 150PEA 301,,Gas Storage,Propane,Power Direct Vent,100,63.5,12,30,4,6,147,150,0.98,1000,,,,05/09/2014,12/13/2018,"United States, Canada",ES_92897_SUF 100 150PEA 301_10122018171225_1819597
2327612,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_GTP 150 201_10122018171227_6737830
2327613,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_BTS 199 201_10122018171229_4720727
2327614,A.O. Smith Corporation,State,Polaris,GHX 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_GHX 50 150 P 201_10122018171233_7273192
2327615,A.O. Smith Corporation,State,Polaris,SPC 50 199 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_SPC 50 199 PE 201_10122018171235_7731323
2327616,A.O. Smith Corporation,American,Polaris,PR 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,Canada,ES_92897_PR 50 150 P 201_10122018171237_8745861
2327617,A.O. Smith Corporation,American,Polaris,PC 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PC 50 199 P 201_10122018171239_1712248
2327618,A.O. Smith Corporation,American,Polaris,PGC3 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PGC3 50 150 2PV 201_10122018171241_4155246
2327619,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_BTS 150 201_10122018171245_6674691
2327620,A.O. Smith Corporation,American,Polaris,PG10 50 199 3NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3NV 200_10122018171246_5813369
2327621,A.O. Smith Corporation,State,Polaris,SPC 50 150 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_SPC 50 150 PE 201_10122018171248_9957505
2327622,A.O. Smith Corporation,American,Polaris,PG10 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3PV 201_10122018171250_0317683
2327623,A.O. Smith Corporation,American,Polaris,PC 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,Canada,ES_92897_PC 50 150 P 201_10122018171252_9511347
2327624,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_GTP 199 201_10122018171253_8268341
2327625,A.O. Smith Corporation,American,Polaris,PG10 50 150 2NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 150 2NV 200_10122018171257_0744037
2327626,A.O. Smith Corporation,State,Polaris,GHX 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_GHX 50 199 P 201_10122018171257_4201114
2327627,A.O. Smith Corporation,American,Polaris,PG10 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 150 2PV 201_10122018171300_0471820
2327628,A.O. Smith Corporation,American,Polaris,PR 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PR 50 199 P 201_10122018171302_9959944
2327629,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_GTP 150 201_10122018171304_6088948
2327630,A.O. Smith Corporation,American,Polaris,PGC3 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PGC3 50 199 3PV 201_10122018171306_8924360
2327631,A.O. Smith Corporation,State,Polaris,GHX 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_GHX 50 150 P 201_10122018171308_5925415
2327632,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_BTS 199 201_10122018171310_2905285
2327633,A.O. Smith Corporation,American,Polaris,PR 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,Canada,ES_92897_PR 50 150 P 201_10122018171312_8477880
2327634,A.O. Smith Corporation,State,Polaris,SPC 50 199 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_SPC 50 199 PE 201_10122018171313_5806414
2327635,A.O. Smith Corporation,American,Polaris,PGC3 50 150 2PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_PGC3 50 150 2PV 201_10122018171316_3015213
2327636,A.O. Smith Corporation,American,Polaris,PC 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PC 50 199 P 201_10122018171318_3898777
2327637,A.O. Smith Corporation,A. O. Smith,Polaris,BTS 150 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_BTS 150 201_10122018171320_9471372
2327638,A.O. Smith Corporation,American,Polaris,PG10 50 199 3NV 200,,Gas Storage,Gas,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3NV 200_10122018171323_2787206
2327639,A.O. Smith Corporation,State,Polaris,SPC 50 150 PE 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,United States,ES_92897_SPC 50 150 PE 201_10122018171324_8120142
2327640,A.O. Smith Corporation,American,Polaris,PG10 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PG10 50 199 3PV 201_10122018171325_1435194
2327641,A.O. Smith Corporation,American,Polaris,PC 50 150 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,2,,142.5,150,0.95,750,,,,02/15/2017,10/12/2018,Canada,ES_92897_PC 50 150 P 201_10122018171327_8861681
2327642,A.O. Smith Corporation,A. O. Smith,Polaris,GTP 199 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,"United States, Canada",ES_92897_GTP 199 201_10122018171329_9876220
2327643,A.O. Smith Corporation,State,Polaris,GHX 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_GHX 50 199 P 201_10122018171333_5493348
2327644,A.O. Smith Corporation,American,Polaris,PR 50 199 P 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,Canada,ES_92897_PR 50 199 P 201_10122018171336_0171602
2327645,A.O. Smith Corporation,American,Polaris,PGC3 50 199 3PV 201,,Gas Storage,Propane,Power Direct Vent,50,63.7,6.6,22,3,,191.04,199,0.96,800,,,,02/15/2017,10/12/2018,United States,ES_92897_PGC3 50 199 3PV 201_10122018171340_0107128
