ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,Product Type,Configuration,Additional Handset Telephones Supported,Frequency,Standby Power (W),Off Mode Power (W),External Proxy Capability,Physical Data Ports,Low Power Wireless Technologies,Gigabit Ethernet Ports,Fast Ethernet Ports,Energy Efficient Ethernet - Gigabit,Energy Efficient Ethernet - Fast,Display Resolution (pixels),Power Over Ethernet Class,External Power Supply,Date Available On Market,Date Qualified,Markets,CB Model Identifier
2229372,Panasonic,Panasonic,KX-TGD223,KX-TGD223,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD223_12162014115211_0731406
2229348,Panasonic,Panasonic,KX-TGD223C,KX-TGD223C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGD223C_12162014115148_0708807
2229386,Panasonic,Panasonic,KX-TGD224,KX-TGD224,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD224_12162014115303_0783978
2229373,Panasonic,Panasonic,KX-TGD224C,KX-TGD224C,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGD224C_12162014115232_0752395
2229349,Panasonic,Panasonic,KX-TGD225,KX-TGD225,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGD225_12162014115326_0806928
2229350,Panasonic,Panasonic,KX-TGDA20,KX-TGDA20,,Analog,Additional Handset,,Other,0.151,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-TGDA20_12162014115442_0882662
2229351,Panasonic,Panasonic,KX-TGDA20C,KX-TGDA20C,,Analog,Additional Handset,,Other,0.151,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,Canada,ES_31845_KX-TGDA20C_12162014115418_0858141
2229333,Panasonic,Panasonic,KX-TGE210,KX-TGE210,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE210_12162014104103_6463263
2229363,Panasonic,Panasonic,KX-TGE212,KX-TGE212,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE212_12162014104123_6483111
2229318,Panasonic,Panasonic,KX-TGE232,KX-TGE232,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE232_12162014104003_6403675
2229320,Panasonic,Panasonic,KX-TGE233,KX-TGE233,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE233_12162014104023_6423376
2229364,Panasonic,Panasonic,KX-TGE234,KX-TGE234,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE234_12162014104042_6442401
2229319,Panasonic,Panasonic,KX-TGE240,KX-TGE240,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE240_12162014103754_6274664
2229322,Panasonic,Panasonic,KX-TGE242,KX-TGE242,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE242_12162014103814_6294637
2229323,Panasonic,Panasonic,KX-TGE242C,KX-TGE242C,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,Canada,ES_31845_KX-TGE242C_12162014104258_6578004
2229365,Panasonic,Panasonic,KX-TGE243,KX-TGE243,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE243_12162014103856_6336193
2229321,Panasonic,Panasonic,KX-TGE243C,KX-TGE243C,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,Canada,ES_31845_KX-TGE243C_12162014104317_6597530
2229324,Panasonic,Panasonic,KX-TGE244,KX-TGE244,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE244_12162014103917_6357139
2229325,Panasonic,Panasonic,KX-TGE245,KX-TGE245,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE245_12162014103940_6380655
2229326,Panasonic,Panasonic,KX-TGE262,KX-TGE262,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE262_12162014103646_6206299
2229366,Panasonic,Panasonic,KX-TGE262C,KX-TGE262C,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,Canada,ES_31845_KX-TGE262C_12162014104210_6530199
2229327,Panasonic,Panasonic,KX-TGE263,KX-TGE263,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE263_12162014103714_6234739
2229328,Panasonic,Panasonic,KX-TGE263C,KX-TGE263C,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,Canada,ES_31845_KX-TGE263C_12162014104233_6553320
2229329,Panasonic,Panasonic,KX-TGE272,KX-TGE272,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE272_12162014103423_6063460
2229367,Panasonic,Panasonic,KX-TGE273,KX-TGE273,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE273_12162014103456_6096777
2229330,Panasonic,Panasonic,KX-TGE274,KX-TGE274,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE274_12162014103540_6140213
2229331,Panasonic,Panasonic,KX-TGE275,KX-TGE275,,Analog,Cordless,,Other,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGE275_12162014103600_6160900
2271028,Panasonic,Panasonic,KX-TGE432,KX-TGE432,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE432_06282016070951_7791595
2271029,Panasonic,Panasonic,KX-TGE433,KX-TGE433,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE433_06282016071048_7848070
2270990,Panasonic,Panasonic,KX-TGE445,KX-TGE445,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE445_06282016021528_0128836
2270976,Panasonic,Panasonic,KX-TGE463,KX-TGE463,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE463_03112016071847_0727755
2270977,Panasonic,Panasonic,KX-TGE474,KX-TGE474,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE474_03112016070658_0018986
2270978,Panasonic,Panasonic,KX-TGE475,KX-TGE475,,Analog,Cordless,,None,0.995,,N/A,Other,None,0,0,0,0,,N/A,Yes,12/31/2015,12/23/2015,United States,ES_31845_KX-TGE475_03112016071236_0356666
2229361,Panasonic,Panasonic,KX-TGEA20,KX-TGEA20,,Analog,Additional Handset,,Other,0.163,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,United States,ES_31845_KX-TGEA20_12162014104340_6620127
2229362,Panasonic,Panasonic,KX-TGEA20C,KX-TGEA20C,,Analog,Additional Handset,,Other,0.163,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/23/2014,09/11/2014,Canada,ES_31845_KX-TGEA20C_12162014104359_6639969
2229387,Panasonic,Panasonic,KX-WP110,KX-WP110,,Analog,Cordless,,Other,0.546,,N/A,Other,None,0,0,0,0,,N/A,Yes,01/09/2014,09/11/2014,United States,ES_31845_KX-WP110_12162014115353_0833920
2319273,Polycom Inc.,POLYCOM,VVX 150,2201-48810-001,,Voice over Internet Protocol (VoIP),Corded,,None,1.76,,N/A,Universal Serial Bus (USB),None,0,10100,0,0,,Class 2,Yes,05/31/2018,05/02/2018,"United States, Canada",ES_1140199_2201-48810-001_05032018140045_2169968
2319274,Polycom Inc.,POLYCOM,VVX 250,2201-48820-001,,Voice over Internet Protocol (VoIP),Corded,,None,1.84,,N/A,Universal Serial Bus (USB),None,2,0,0,0,,Class 2,Yes,05/31/2018,05/02/2018,"United States, Canada",ES_1140199_2201-48820-001_05032018112055_8057382
2319275,Polycom Inc.,POLYCOM,VVX 350,2201-48830-001,,Voice over Internet Protocol (VoIP),Corded,,None,2.11,,N/A,Universal Serial Bus (USB),None,2,0,0,0,,Class 0,Yes,05/31/2018,05/02/2018,"United States, Canada",ES_1140199_2201-48830-001_05032018140029_6203286
2319276,Polycom Inc.,POLYCOM,VVX 450,2201-48840-001,,Voice over Internet Protocol (VoIP),Corded,,None,2.27,,N/A,Universal Serial Bus (USB),None,2,0,0,0,,Class 0,Yes,05/31/2018,05/02/2018,"United States, Canada",ES_1140199_2201-48840-001_05032018140015_9478403
