ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Additional Washer Features,Intended Market,Volume (cu. ft.),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2019 Criteria
2310470,Kenmore,592-4969*,,887276169309,Front Load,Other,Residential,5,2.92,1.84,105,2.9,4.7,4278,No,,,,No,,05/15/2016,04/21/2016,"United States, Canada",ES_15649_592-4969*_02092018060252_70172127,No
2311005,LG,WM1385H*,,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,No,,,,No,,03/19/2016,02/26/2018,"United States, Canada",ES_1118034_WM1385H*_02262018014255_70175340,No
2310496,LG,WM1388H*,,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,No,,,,No,,03/19/2016,02/09/2018,"United States, Canada",ES_1118034_WM1388H*_02092018060252_70172585,No
2321541,LG,WM1399H*A,,1,Front Load,None,Residential,2.3,2.07,1.84,120,4.2,4.7,2850,No,,,,No,,06/22/2018,06/22/2018,"United States, Canada",ES_1118034_WM1399H*A_06232018124145_6666666_,No
2308538,LG,WM3080C*,,1,Front Load,Delayed Start,Residential,4.3,2.92,1.84,90,3.2,4.7,4050,No,,,,No,,12/01/2017,12/18/2017,"United States, Canada",ES_1118034_WM3080C*_12192017024232_70163137,No
2310480,LG,WM3085C*,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,12/11/2016,02/08/2018,"United States, Canada",ES_1118034_WM3085C*_02092018060252_70172585,No
2328318,LG,WM3090C*,,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,,,,No,,10/31/2018,10/23/2018,"United States, Canada",ES_1118034_WM3090C*_10242018042448_70202975,No
2320406,LG,WM3095C*,,1,Front Load,None,Residential,4.5,2.92,1.84,100,2.9,4.7,3841,No,,,,No,,05/18/2018,05/16/2018,"United States, Canada",ES_1118034_WM3095C*_05242018111228_70184257,No
2310476,LG,WM3180C*,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,04/17/2017,02/08/2018,"United States, Canada",ES_1118034_WM3180C*_02092018060252_70172585,No
2310498,LG,WM3270C*,,1,Front Load,None,Residential,4.5,2.92,1.84,90,3.2,4.7,4220,No,,,,No,,07/29/2016,02/09/2018,"United States, Canada",ES_1118034_WM3270C*_02092018060252_70172585,Yes
